event_type,symbol,direction,stage,entry,close_price,time_open,time_close,size,result,status,sl,tp,is_probe,fee,pnl_pct,r_value,reason,time_open_human,time_close_human
open,ETH/USDT,SHORT,probe,3658.07,,1760216877.276008,,0.002756900941399961,,open,,3292.2630000000004,True,0.0,,36.738478,probe_breakout_short,12/10/2025 04:07,
open,ARB/USDT,SHORT,probe,0.2922,,1760216937.2982256,,34.51381460200874,,open,,0.26298000000000005,True,0.0,,0.005144,probe_breakout_short,12/10/2025 04:08,
open,XRP/USDT,SHORT,probe,2.3237,,1760216997.3366356,,4.340033836858009,,open,,2.09133,True,0.0,,0.028981,probe_breakout_short,12/10/2025 04:09,
close,LINK/USDT,SHORT,probe,17.38,16.96,1760210483.5707345,1760217627.716929,0.5753739930955121,0.23375373993095405,TRAP,17.34524,15.642,True,0.007903337169159955,0.23375373993095405,0.217405,trap_reversal,12/10/2025 02:21,12/10/2025 04:20
close,DOGE/USDT,SHORT,probe,0.18681,0.18442,1760210483.5707345,1760217867.8672266,53.53032492907232,0.11998865157111521,TRAP,0.186436,0.168129,True,0.007948825009367808,0.11998865157111523,0.002213,trap_reversal,12/10/2025 02:21,12/10/2025 04:24
close,XRP/USDT,SHORT,probe,2.3237,2.376,1760216997.3366356,1760217957.9268913,4.340033836858009,-0.23514251247690557,TRAP,,2.09133,True,0.008158742809232634,-0.23514251247690557,0.028981,trap_reversal,12/10/2025 04:09,12/10/2025 04:25
close,ARB/USDT,SHORT,probe,0.2922,0.3003,1760216937.2982256,1760218168.0178616,34.51381460200874,-0.28774167233694675,TRAP,,0.26298000000000005,True,0.008179774060676073,-0.28774167233694675,0.005144,trap_reversal,12/10/2025 04:08,12/10/2025 04:29
close,ATOM/USDT,SHORT,full,3.162,3.156,1760210753.7120092,1760221289.6819308,18.975332068311197,0.06589753320682702,SL,3.155676,2.8458,False,0.04795445920303605,0.06589753320682702,0.037596,stop_loss,12/10/2025 02:25,12/10/2025 05:21
open,ATOM/USDT,SHORT,probe,3.083,,1760227893.4470096,,3.2677950699631717,,open,,2.7747,True,0.0,,0.039383,probe_breakout_short,12/10/2025 07:11,
close,ATOM/USDT,SHORT,probe,3.083,3.048,1760227893.4470096,1760235217.6240635,3.2677950699631717,0.1063588868191338,TRAP,,2.7747,True,0.008013940629577684,0.10635888681913382,0.039383,trap_reversal,12/10/2025 07:11,12/10/2025 09:13
