timestamp,symbol,timeframe,score_long,score_short,score_threshold,score_total_weight,active_total_weight,status
2025-09-28T10:50:11.897445,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:50:12.476845,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:50:13.054033,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:50:13.577625,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:50:14.152619,DOT/USDT,15m,5.19,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:50:14.686775,TRX/USDT,15m,6.14,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:50:15.215093,AVAX/USDT,15m,2.12,9.54,15.0,18.0,18.0,NONE
2025-09-28T10:50:15.740466,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:50:16.464681,ARB/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:51:08.163349,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:51:08.838456,ETH/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:51:09.370334,BNB/USDT,15m,12.5,1.38,15.0,18.0,18.0,NONE
2025-09-28T10:51:10.047481,SOL/USDT,15m,2.86,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:51:10.572849,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:51:11.103822,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:51:11.630716,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:51:12.204473,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:51:12.860125,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:51:13.367682,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:51:13.863315,DOT/USDT,15m,4.13,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:51:14.383051,TRX/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:51:14.909349,AVAX/USDT,15m,2.12,9.54,15.0,18.0,18.0,NONE
2025-09-28T10:51:15.428777,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:51:15.952180,ARB/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:52:08.025206,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:52:08.705427,ETH/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:52:09.388553,BNB/USDT,15m,12.5,1.38,15.0,18.0,18.0,NONE
2025-09-28T10:52:09.926388,SOL/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:52:10.490522,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:52:11.014176,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:52:11.535027,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:52:12.025144,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:52:12.547438,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:52:13.073795,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:52:13.601335,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:52:14.131298,TRX/USDT,15m,6.14,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:52:14.806496,AVAX/USDT,15m,2.12,9.54,15.0,18.0,18.0,NONE
2025-09-28T10:52:15.378433,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:52:15.908558,ARB/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:53:08.054039,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:53:09.024666,ETH/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:53:09.595481,BNB/USDT,15m,12.5,1.38,15.0,18.0,18.0,NONE
2025-09-28T10:53:10.170349,SOL/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:53:10.857495,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:53:11.407211,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:53:11.898395,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:53:12.420368,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:53:12.938988,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:53:13.462403,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:53:14.042193,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:53:14.571917,TRX/USDT,15m,6.14,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:53:15.092560,AVAX/USDT,15m,2.12,9.54,15.0,18.0,18.0,NONE
2025-09-28T10:53:15.619668,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:53:16.141363,ARB/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:55:28.910423,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:55:29.368591,ETH/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:55:29.888263,BNB/USDT,15m,12.5,1.38,15.0,18.0,18.0,NONE
2025-09-28T10:55:30.353351,SOL/USDT,15m,1.8,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:55:30.813435,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:55:31.266575,ADA/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:55:31.731482,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:55:32.185431,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:55:32.644788,LINK/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:55:33.105190,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
